"cohort_count","person_years","gender","age_group","calendar_year","incidence_rate","cohort_id","database_id"
0,1122178.7296,"Female","20-29",2017,0,2379,"database_schema"
-5,531188.9664,"Female","40-49",2020,-0.009412846117430198,2379,"database_schema"
-5,698412.6297,"Female","40-49",2019,-0.007159091613431629,2379,"database_schema"
0,503775.696,"Female","70-79",2021,0,2379,"database_schema"
-5,436294.2395,"Female","70-79",2018,-0.011460155893256985,2379,"database_schema"
0,476619.5783,"Female","70-79",2017,0,2379,"database_schema"
0,463506.9541,"Female","70-79",2019,0,2379,"database_schema"
10,577534.6913,"Male","50-59",2020,0.017314977179103356,2379,"database_schema"
17,716731.5592,"Male","40-49",2018,0.023718782550854918,2379,"database_schema"
-5,553265.2648,"Female","30-39",2020,-0.009037256300207915,2379,"database_schema"
0,703643.5099,"Female","60-69",2019,0,2379,"database_schema"
29,792262.5242,"Male","50-59",2018,0.03660402848068981,2379,"database_schema"
0,109186.9733,"Male","70-79",2022,0,2379,"database_schema"
0,85221.6071,"Female","0-9",2022,0,2379,"database_schema"
0,328526.2313,"Female","80-89",2021,0,2379,"database_schema"
0,295600.3394,"Female","80-89",2018,0,2379,"database_schema"
0,307924.9938,"Female","80-89",2019,0,2379,"database_schema"
0,183299.3675,"Female","60-69",2022,0,2379,"database_schema"
0,412236.7255,"Male","10-19",2020,0,2379,"database_schema"
0,89640.9472,"Male","0-9",2022,0,2379,"database_schema"
0,296785.221,"Male","0-9",2021,0,2379,"database_schema"
0,376075.0362,"Male","70-79",2019,0,2379,"database_schema"
8,610808.8049,"Female","50-59",2020,0.01309738814473989,2379,"database_schema"
0,107289.7522,"Female","10-19",2022,0,2379,"database_schema"
0,349820.7857,"Female","10-19",2021,0,2379,"database_schema"
0,137107.425,"Female","20-29",2022,0,2379,"database_schema"
0,137301.5249,"Male","20-29",2022,0,2379,"database_schema"
-5,461233.4072,"Male","20-29",2021,-0.0108404983722957,2379,"database_schema"
0,153413.4428,"Female","30-39",2022,0,2379,"database_schema"
-5,500976.3312,"Female","30-39",2021,-0.009980511430596703,2379,"database_schema"
0,58070.3025,"Male","80-89",2022,0,2379,"database_schema"
0,184246.7186,"Male","80-89",2018,0,2379,"database_schema"
0,164841.2156,"Male","60-69",2022,0,2379,"database_schema"
0,201703.6139,"Male","80-89",2020,0,2379,"database_schema"
0,195067.1649,"Male","80-89",2019,0,2379,"database_schema"
0,42.6502,"No matching concept","20-29",2017,0,2379,"database_schema"
