"cohort_id","concept_set_id","database_id","concept_id","concept_count","concept_subjects"
2379,4,"database_schema",45565768,-5,-5
2379,4,"database_schema",45565769,470,99
2379,4,"database_schema",45565770,14,12
2379,4,"database_schema",45571743,3860,1933
2379,4,"database_schema",45575487,1356,251
2379,4,"database_schema",45575488,360,89
2379,4,"database_schema",45575489,20,7
2379,4,"database_schema",45580343,184,66
2379,4,"database_schema",45585163,54,19
2379,4,"database_schema",45585165,36,12
2379,4,"database_schema",45585166,14,-5
2379,4,"database_schema",45585167,8,5
2379,4,"database_schema",45585168,12,6
2379,4,"database_schema",45589997,-5,-5
2379,4,"database_schema",45589998,10,-5
2379,4,"database_schema",45589999,906,272
2379,4,"database_schema",45594844,54,40
2379,4,"database_schema",45594845,414,140
2379,4,"database_schema",45595471,129,108
2379,4,"database_schema",45599682,-5,-5
2379,4,"database_schema",45600719,218041,107005
2379,4,"database_schema",45600720,4900,1193
2379,4,"database_schema",45604480,-5,-5
2379,4,"database_schema",45604481,20,5
2379,4,"database_schema",45604482,40,15
2379,4,"database_schema",45609260,-5,-5
2379,4,"database_schema",45609261,380,139
2379,4,"database_schema",45890719,330,259
2379,4,"database_schema",45890720,7476,5505
2379,4,"database_schema",45890721,149,124
2379,4,"database_schema",46273821,-5,-5
2379,5,"database_schema",712616,224,40
2379,5,"database_schema",712617,113,22
2379,5,"database_schema",712619,263,53
2379,5,"database_schema",785814,246,33
2379,5,"database_schema",785816,471,48
2379,5,"database_schema",1218899,22,-5
2379,5,"database_schema",1218901,-5,-5
2379,5,"database_schema",1218902,15,-5
2379,5,"database_schema",19016799,683,92
2379,5,"database_schema",19016800,132,23
2379,5,"database_schema",19016821,705,98
2379,5,"database_schema",19047064,337,47
2379,5,"database_schema",19071496,426,52
2379,5,"database_schema",19128377,91,23
2379,5,"database_schema",19128378,106,11
2379,5,"database_schema",19128379,100,18
2379,5,"database_schema",19128380,192,93
2379,5,"database_schema",44837905,40,14
2379,5,"database_schema",44855536,99,10
2379,5,"database_schema",44906932,88,18
2379,5,"database_schema",44923421,12,-5
2379,5,"database_schema",44923840,119,17
2379,5,"database_schema",44923841,82,14
2379,5,"database_schema",44957164,-5,-5
